"Study Title","Study Abbreviation","Authors","Published in","Date Published","Number of Randomized Patients","Conclusion","Primary Outcome","Results for the Primary Outcome","Blinding","Comparator","Link to Article"
"
              
                Chlorthalidone for Hypertension in Advanced Chronic Kidney Disease.
              
            ","NA","Agarwal, Rajiv et al.","NEJM","2021/11/05","160","Chlorthalidone therapy improved blood-pressure control at 12 weeks as compared with placebo.","Change in 24-hour ambulatory systolic blood pressure from baseline to 12 weeks","Adjusted change in 24-hour systolic blood pressure from baseline to 12 weeks was -11.0 mm Hg (95% confidence interval [CI], -13.9 to -8.1) in the chlorthalidone group and -0.5 mm Hg (95% CI, -3.5 to 2.5) in the placebo group. The between-group difference was -10.5 mm Hg (95% CI, -14.6 to -6.4) (P<0.001).","Yes","Chlorthalidone vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/34739197/?format=pubmed",
"
              
                Multicomponent Strategy with Decentralized Molecular Testing for Tuberculosis.
              
            ","NA","Cattamanchi, Adithya et al.","NEJM","2021/12/22","10,644 eligible adults","A multicomponent diagnostic strategy that included on-site molecular testing plus implementation supports to address barriers to delivery of high-quality tuberculosis evaluation services led to more patients being tested, receiving a diagnosis, and being treated for confirmed tuberculosis.","Number of adults treated for confirmed tuberculosis within 14 days after presenting to the health center for evaluation during the 16-month intervention period","342 patients across 10 intervention health centers vs. 220 across 10 control health centers; adjusted rate ratio, 1.56; 95% CI, 1.21 to 2.01","Not stated","Intervention strategy vs. routine care","https://pubmed.ncbi.nlm.nih.gov/34936740/?format=pubmed",
"
              
                Secondary Antibiotic Prophylaxis for Latent Rheumatic Heart Disease.
              
            ","NA","Beaton, Andrea et al.","NEJM","2021/11/12","916","Secondary antibiotic prophylaxis reduced the risk of disease progression at 2 years.","Echocardiographic progression of latent rheumatic heart disease at 2 years","3 participants (0.8%) in the prophylaxis group had echocardiographic progression at 2 years, as compared with 33 (8.2%) in the control group (risk difference, -7.5 percentage points; 95% confidence interval, -10.2 to -4.7; P<0.001).","Panel members were unaware of trial-group assignments","Prophylaxis group vs. Control group","https://pubmed.ncbi.nlm.nih.gov/34767321/?format=pubmed",
"
              
                Effect of Use of a Bougie vs Endotracheal Tube With Stylet on Successful Intubation on the First Attempt Among Critically Ill Patients Undergoing Tracheal Intubation: A Randomized Clinical Trial.
              
            ","BOUGIE","Driver, Brian E et al.","JAMA","2021/12/08","1102","Use of a bougie did not significantly increase the incidence of successful intubation on the first attempt compared with use of an endotracheal tube with stylet.","Successful intubation on the first attempt","Successful intubation on the first attempt occurred in 447 patients (80.4%) in the bougie group and 453 patients (83.0%) in the stylet group (absolute risk difference, -2.6 percentage points [95% CI, -7.3 to 2.2]; P = .27).","Not stated","bougie (n = 556) or use of an endotracheal tube with stylet (n = 546)","https://pubmed.ncbi.nlm.nih.gov/34879143/?format=pubmed",
"
              
                Angiography after Out-of-Hospital Cardiac Arrest without ST-Segment Elevation.
              
            ","TOMAHAWK","Desch, Steffen et al.","NEJM","2021/08/30","554 patients","A strategy of performing immediate angiography provided no benefit over a delayed or selective strategy with respect to the 30-day risk of death from any cause.","Death from any cause at 30 days","At 30 days, 143 of 265 patients (54.0%) in the immediate-angiography group and 122 of 265 patients (46.0%) in the delayed-angiography group had died (hazard ratio, 1.28; 95% confidence interval [CI], 1.00 to 1.63; P = 0.06).","Not stated","Immediate-angiography group and delayed-angiography group","https://pubmed.ncbi.nlm.nih.gov/34459570/?format=pubmed",
"
              
                Fractional Flow Reserve-Guided PCI as Compared with Coronary Bypass Surgery.
              
            ","FAME","Fearon, William F et al.","NEJM","2021/11/04","1500","FFR-guided PCI was not found to be noninferior to CABG with respect to the incidence of a composite of death, myocardial infarction, stroke, or repeat revascularization at 1 year.","Occurrence within 1 year of a major adverse cardiac or cerebrovascular event (defined as death from any cause, myocardial infarction, stroke, or repeat revascularization)","10.6% among patients randomly assigned to undergo FFR-guided PCI and 6.9% among those assigned to undergo CABG (hazard ratio, 1.5; 95% confidence interval [CI], 1.1 to 2.2)","Not specified","CABG vs FFR-guided PCI","https://pubmed.ncbi.nlm.nih.gov/34735046/?format=pubmed",
"
              
                Angiographic quantitative flow ratio-guided coronary intervention (FAVOR III China): a multicentre, randomised, sham-controlled trial.
              
            ","FAVOR","Xu, Bo et al.","Lancet","2021/11/07","3825","A QFR-guided strategy of lesion selection improved 1-year clinical outcomes compared with standard angiography guidance for patients undergoing PCI.","1-year rate of major adverse cardiac events, a composite of death from any cause, myocardial infarction, or ischaemia-driven revascularisation","1-year primary endpoint occurred in 110 (Kaplan-Meier estimated rate 5.8%) participants in the QFR-guided group and in 167 (8.8%) participants in the angiography-guided group (difference, -3.0% [95% CI -4.7 to -1.4]; hazard ratio 0.65 [95% CI 0.51 to 0.83]; p=0.0004)","Participants and clinical assessors were masked to treatment allocation","QFR-guided group and angiography-guided group","https://pubmed.ncbi.nlm.nih.gov/34742368/?format=pubmed",
"
              
                Concomitant Tricuspid Repair in Patients with Degenerative Mitral Regurgitation.
              
            ","CTSN","Gammie, James S et al.","NEJM","2021/11/12","401 patients","Tricuspid repair resulted in fewer primary-end-point events than mitral-valve surgery alone at 2 years, and this reduction was driven by less frequent progression to severe tricuspid regurgitation.","Composite of reoperation for tricuspid regurgitation, progression of tricuspid regurgitation by two grades from baseline or the presence of severe tricuspid regurgitation, or death","Patients who underwent mitral-valve surgery plus TA had fewer primary-end-point events than those who underwent mitral-valve surgery alone (3.9% vs. 10.2%) (relative risk, 0.37; 95% confidence interval [CI], 0.16 to 0.86; P = 0.02).","Not stated","Mitral-valve surgery plus TA vs. Mitral-valve surgery alone","https://pubmed.ncbi.nlm.nih.gov/34767705/?format=pubmed",
"
              
                Cardiovascular Events with Finerenone in Kidney Disease and Type 2 Diabetes.
              
            ","FIGARO-DKD","Pitt, Bertram et al.","NEJM","2021/08/27","7437 patients","Finerenone therapy improved cardiovascular outcomes as compared with placebo in patients with type 2 diabetes and stage 2 to 4 CKD with moderately elevated albuminuria or stage 1 or 2 CKD with severely elevated albuminuria.","Composite of death from cardiovascular causes, nonfatal myocardial infarction, nonfatal stroke, or hospitalization for heart failure","Hazard ratio of 0.87; 95% confidence interval of 0.76 to 0.98; P = 0.03","Double-blind","Finerenone vs. placebo","https://pubmed.ncbi.nlm.nih.gov/34449181/?format=pubmed",
"
              
                Multiyear Factor VIII Expression after AAV Gene Transfer for Hemophilia A.
              
            ","NA","George, Lindsey A et al.","NEJM","2021/11/17","18 men","SPK-8011 was successful in allowing 16 of 18 participants to discontinue prophylaxis and reduce bleeding episodes.","Sustained factor VIII expression","16 of 18 participants who received SPK-8011 had sustained factor VIII expression","Not stated","Participants who received SPK-8011 vs. before vector administration","https://pubmed.ncbi.nlm.nih.gov/34788507/?format=pubmed",
