"Study Title","Study Abbreviation","Authors","Published in","Date Published","Number of Randomized Patients","Conclusion","Primary Outcome","Results for the Primary Outcome","Blinding","Comparator","Link to Article"
"
              
                Trastuzumab Deruxtecan in HER2-Mutant Non-Small-Cell Lung Cancer.
              
            ","DESTINY-Lung01 Trial Investigators","Li, Bob T et al.","NEJM","2021/09/17","91 patients","Trastuzumab deruxtecan showed durable anticancer activity in patients with previously treated HER2-mutant NSCLC, but it also had toxic effects including interstitial lung disease that was fatal in two cases.","Objective response as assessed by independent central review","55% of the patients (95% CI, 44 to 65)","Not specified","Patients with metastatic HER2-mutant NSCLC that was refractory to standard treatment","https://pubmed.ncbi.nlm.nih.gov/34534430/?format=pubmed",
"
              
                Biologic and Clinical Efficacy of LentiGlobin for Sickle Cell Disease.
              
            ","NA","Kanter, Julie et al.","NEJM","2021/12/13","43 patients","Treatment with LentiGlobin resulted in complete resolution of severe vaso-occlusive events.","Resolution of severe vaso-occlusive events","25 patients could be evaluated and all had resolution of severe vaso-occlusive events, as compared with a median of 3.5 events per year (range, 2.0 to 13.5) in the 24 months before enrollment.","Not specified","Group A, Group B, Group C","https://pubmed.ncbi.nlm.nih.gov/34898139/?format=pubmed",
"
              
                Randomized Trial of Cytoreductive Surgery for Relapsed Ovarian Cancer.
              
            ","DESKTOP","Harter, Philipp et al.","NEJM","2021/12/07","407 patients","Cytoreductive surgery followed by chemotherapy resulted in longer overall survival than chemotherapy alone.","Overall survival","Median overall survival was 53.7 months in the surgery group and 46.0 months in the no-surgery group (hazard ratio for death, 0.75; 95% confidence interval, 0.59 to 0.96; P = 0.02).","Not stated","Cytoreductive surgery and chemotherapy vs. chemotherapy alone","https://pubmed.ncbi.nlm.nih.gov/34874631/?format=pubmed",
"
              
                Effect of Long-term Supplementation With Marine Omega-3 Fatty Acids vs Placebo on Risk of Depression or Clinically Relevant Depressive Symptoms and on Change in Mood Scores: A Randomized Clinical Trial.
              
            ","NA","Okereke, Olivia I et al.","JAMA","2021/12/21","18,353","Omega-3 supplements do not prevent depression in adults.","Risk of depression or clinically relevant depressive symptoms; mean difference in mood score (8-item Patient Health Questionnaire [PHQ-8] depression scale)","the mean difference in change in PHQ-8 score was 0.03 points (95% CI, -0.01 to 0.07; P = .19).","Yes","Omega-3 supplements vs placebo","https://pubmed.ncbi.nlm.nih.gov/34932079/?format=pubmed",
"
              
                Betibeglogene Autotemcel Gene Therapy for Non-b0/b0 Genotype b-Thalassemia.
              
            ","NA","Locatelli, Franco et al.","NEJM","2021/12/10","23 patients","Treatment with beti-cel resulted in a sustained HbA(T87Q) level and a total hemoglobin level that was high enough to enable transfusion independence in most patients with a non-b(0)/b(0) genotype, including those younger than 12 years of age.","Transfusion independence (i.e., a weighted average hemoglobin level of >=9 g per deciliter without red-cell transfusions for >=12 months)","Transfusion independence occurred in 20 of 22 patients who could be evaluated (91%), including 6 of 7 patients (86%) who were younger than 12 years of age.","Open-label","Not applicable","https://pubmed.ncbi.nlm.nih.gov/34891223/?format=pubmed",
"
              
                Evaluation of geriatric assessment and management on the toxic effects of cancer treatment (GAP70+): a cluster-randomised study.
              
            ","NA","Mohile, Supriya G et al.","Lancet","2021/11/06","718 patients","A geriatric assessment intervention for older patients with advanced cancer reduced serious toxic effects from cancer treatment.","Proportion of patients who had any grade 3-5 toxic effect (based on National Cancer Institute Common Terminology Criteria for Adverse Events version 4) over 3 months","A lower proportion of patients in the intervention group had grade 3-5 toxic effects (177 [51%] of 349 patients) compared with the usual care group (263 [71%] of 369 patients; relative risk [RR] 0*74 (95% CI 0*64-0*86; p=0*0001).","Masked oncology clinicians reviewed medical records to verify","Intervention group and usual care group","https://pubmed.ncbi.nlm.nih.gov/34741815/?format=pubmed",
"
              
                Effect of an Oncology Nurse-Led Primary Palliative Care Intervention on Patients With Advanced Cancer: The CONNECT Cluster Randomized Clinical Trial.
              
            ","NA","Schenker, Yael et al.","JAMA internal medicine","2021/09/13","672 participants","The CONNECT intervention, which was delivered by oncology nurses, did not improve patient-reported outcomes at 3 months.","Quality of life","At 3 months, no difference in mean (SD) quality-of-life score was found between the CONNECT and standard care groups (130.7 [28.2] vs 134.1 [28.1]; adjusted mean difference, 1.20; 95% CI, -2.75 to 5.15; P = .55).","Not stated","CONNECT intervention vs standard care","https://pubmed.ncbi.nlm.nih.gov/34515737/?format=pubmed",
"
              
                21-Gene Assay to Inform Chemotherapy Benefit in Node-Positive Breast Cancer.
              
            ","NA","Kalinsky, Kevin et al.","NEJM","2021/12/16","5083","Error","Invasive disease-free survival","Among postmenopausal women, invasive disease-free survival at 5 years was 91.9% in the endocrine-only group and 91.3% in the chemoendocrine group, with no chemotherapy benefit (hazard ratio for invasive disease recurrence, new primary cancer [breast cancer or another type], or death, 1.02; 95% confidence interval [CI], 0.82 to 1.26; P = 0.89). Among premenopausal women, invasive disease-free survival at 5 years was 89.0% with endocrine-only therapy and 93.9% with chemoendocrine therapy (hazard ratio, 0.60; 95% CI, 0.43 to 0.83; P = 0.002), with a similar increase in distant relapse-free survival (hazard ratio, 0.58; 95% CI, 0.39 to 0.87; P = 0.009).","Not specified","Endocrine therapy only vs. chemotherapy plus endocrine therapy","https://pubmed.ncbi.nlm.nih.gov/34914339/?format=pubmed",
"
              
                Lutetium-177-PSMA-617 for Metastatic Castration-Resistant Prostate Cancer.
              
            ","VISION","Sartor, Oliver et al.","NEJM","2021/06/23","1179","Radioligand therapy with (177)Lu-PSMA-617 prolonged imaging-based progression-free survival when added to standard care in patients with advanced PSMA-positive metastatic castration-resistant prostate cancer.","Imaging-based progression-free survival","Median, 8.7 vs. 3.4 months; hazard ratio for progression or death, 0.40; 99.2% confidence interval [CI], 0.29 to 0.57; P<0.001","Open-label","(177)Lu-PSMA-617 plus standard care vs. standard care alone","https://pubmed.ncbi.nlm.nih.gov/34161051/?format=pubmed",
"
              
                MRI-Targeted or Standard Biopsy in Prostate Cancer Screening.
              
            ","STHLM3","Eklund, Martin et al.","NEJM","2021/07/08","12,750","MRI with targeted and standard biopsy in men with MRI results suggestive of prostate cancer was noninferior to standard biopsy for detecting clinically significant prostate cancer and resulted in less detection of clinically insignificant cancer.","Proportion of men in the intention-to-treat population in whom clinically significant cancer (Gleason score >=7) was diagnosed","Clinically significant cancer was diagnosed in 192 men (21%) in the experimental biopsy group, as compared with 106 men (18%) in the standard biopsy group (difference, 3 percentage points; 95% confidence interval [CI], -1 to 7; P<0.001 for noninferiority).","Unknown","Standard biopsy group and experimental biopsy group","https://pubmed.ncbi.nlm.nih.gov/34237810/?format=pubmed",
