"Study","Number of Randomized Patients","Conclusion","Primary Outcome","Results for the Primary Outcome","Blinding","Comparator","Link to Article"
"On-Site Computed Tomography-Derived Fractional Flow Reserve to Guide Management of Patients With Stable Coronary Artery Disease: The TARGET Randomized Trial., Yang et al., Circulation, 2023/03/04","1216","On-site CT-FFR using machine learning reduced the proportion of patients with stable coronary artery disease undergoing invasive coronary angiography without obstructive disease or requiring intervention within 90 days, but increased revascularization overall without improving symptoms or quality of life, or reducing major adverse cardiovascular events.","Proportion of patients undergoing invasive coronary angiography without obstructive coronary artery disease or with obstructive disease who did not undergo intervention within 90 days","28.3% (119/421) in the CT-FFR care group vs. 46.2% (223/483) in the standard care group (P<0.001)","Unspecified","CT-FFR care group vs. standard care group","https://pubmed.ncbi.nlm.nih.gov/36870065/?format=pubmed",
"Association Between Achieved Low-Density Lipoprotein Cholesterol Levels and Long-Term Cardiovascular and Safety Outcomes: An Analysis of FOURIER-OLE., Gaba et al., Circulation, 2023/02/13","27,564","Lower LDL-C levels, down to <20 mg/dL (<0.5 mmol/L), was associated with a lower risk of cardiovascular outcomes with no significant safety concerns","Composite of cardiovascular death, myocardial infarction, stroke, hospital admission for unstable angina or coronary revascularization","Lower achieved LDL-C levels-down to very low levels <20 mg/dL-associated with a lower risk of the primary efficacy end point (adjusted P(trend)<0.0001 for each end points)","Unspecified","Evolocumab vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/36779348/?format=pubmed",
"Effectiveness of the Family Heart Talk Communication Tool in Improving Family Member Screening for Dilated Cardiomyopathy: Results of a Randomized Trial. (DCM) , Kinnamon et al., Circulation, 2023/03/20","4646","Family Heart Talk booklet was effective in increasing cardiovascular clinical screening among first-degree relatives of patients with dilated cardiomyopathy.","Completion of screening initiated within 12 months after proband enrollment","19.5% of Family Heart Talk group completed screening vs. 16.0% of control group (odds ratio, 1.30 [1-sided 95% CI, 1.08-])","Unspecified","Family Heart Talk (n=621) vs. Control (n=620)","https://pubmed.ncbi.nlm.nih.gov/36938756/?format=pubmed",
"Effect of Electronic Nudges on Influenza Vaccination Rate in Older Adults With Cardiovascular Disease: Prespecified Analysis of the NUDGE-FLU Trial., Modin et al., Circulation, 2023/03/05","964,870","Electronic letter interventions emphasizing the potential cardiovascular benefits of influenza vaccination and using a reminder letter strategy were similarly beneficial in increasing influenza vaccination rates among older adults with and without CVD and across cardiovascular subgroups.","Receipt of an Influenza Vaccine on or Before January 1, 2023","83.1% of participants with CVD versus 79.2% of participants without CVD received an influenza vaccination (P<0.001)","Unspecified","Usual Care vs. 9 Electronic Letters","https://pubmed.ncbi.nlm.nih.gov/36871213/?format=pubmed",
"Phase 3 Trial of Sotatercept for Treatment of Pulmonary Arterial Hypertension. (STELLAR) , Hoeper et al., NEJM, 2023/03/06","163 (sotatercept) and 160 (placebo)","Sotatercept resulted in a greater improvement in exercise capacity than placebo.","Change from baseline at week 24 in the 6-minute walk distance","Median change from baseline at week 24 in the 6-minute walk distance was 34.4 m (95% CI, 33.0 to 35.5) in the sotatercept group and 1.0 m (95% CI, -0.3 to 3.5) in the placebo group. The Hodges-Lehmann estimate of the difference between the sotatercept and placebo groups in the change from baseline at week 24 in the 6-minute walk distance was 40.8 m (95% CI, 27.5 to 54.1; P<0.001).","Double-blind","Sotatercept vs Placebo","https://pubmed.ncbi.nlm.nih.gov/36877098/?format=pubmed",
"Comparison of 3- to 6-Month Versus 12-Month Dual Antiplatelet Therapy After Coronary Intervention Using the Contemporary Drug-Eluting Stents With Ultrathin Struts: The HOST-IDEA Randomized Clinical Trial., Han et al., Circulation, 2023/03/05","2013","3- to 6-month DAPT was noninferior to 12-month DAPT for net adverse clinical event.","Net Adverse Clinical Event (composite of cardiac death, target vessel myocardial infarction, clinically driven target lesion revascularization, stent thrombosis, or major bleeding)","3.7% in 3- to 6-month DAPT group and 4.1% in 12-month DAPT group; noninferiority of 3- to 6-month DAPT group to 12-month DAPT group met (absolute risk difference, -0.4% [1-sided 95% CI, -% to 1.1%]; P<0.001 for noninferiority)","Unspecified","3- to 6-month DAPT vs 12-month DAPT","https://pubmed.ncbi.nlm.nih.gov/36871230/?format=pubmed",
"Endovascular treatment versus no endovascular treatment after 6-24 h in patients with ischaemic stroke and collateral flow on CT angiography (MR CLEAN-LATE) in the Netherlands: a multicentre, open-label, blinded-endpoint, randomised, controlled, phase 3 trial. (MR) , Olthuis et al., Lancet, 2023/03/29","535","Endovascular treatment was efficacious and safe for patients with ischaemic stroke caused by an anterior circulation large-vessel occlusion who presented 6-24 h from onset or last seen well, and who were selected on the basis of the presence of collateral flow on CTA.","Modified Rankin Scale (mRS) score at 90 days after randomisation","Median mRS score at 90 days was lower in the endovascular treatment group than in the control group (3 [IQR 2-5] vs 4 [2-6]); adjusted common OR 1*67 [95% CI 1*20-2*32]","Unspecified","Endovascular treatment vs. no endovascular treatment","https://pubmed.ncbi.nlm.nih.gov/37003289/?format=pubmed",
"Effectiveness of a non-physician community health-care provider-led intensive blood pressure intervention versus usual care on cardiovascular disease (CRHCP): an open-label, blinded-endpoint, cluster-randomised trial. (CRHCP) , He et al., Lancet, 2023/03/05","33,995","The non-physician community health-care provider-led intensive blood pressure intervention is effective in reducing cardiovascular disease and death.","Composite outcome of myocardial infarction, stroke, heart failure requiring hospitalisation, and cardiovascular disease death","Fewer patients in the intervention group than the usual care group had a primary outcome (1*62% vs 2*40% per year; hazard ratio [HR] 0*67, 95% CI 0*61-0*73; p<0*0001)","Unspecified","Non-physician community health-care provider-led intervention vs usual care","https://pubmed.ncbi.nlm.nih.gov/36871573/?format=pubmed",
"Effect of Thromboprophylaxis on Clinical Outcomes After COVID-19 Hospitalization. (ACTIV-4C) , Wang et al., Annals of internal medicine, 2023/03/20","1217","The incidence of death or thromboembolism was low in this cohort of patients discharged after hospitalization with COVID-19","30-day composite of death, arterial thromboembolism, and venous thromboembolism","Incidence of primary end point was 2.13% (95% CI, 1.14 to 3.62) in the apixaban group and 2.31% (CI, 1.27 to 3.84) in the placebo group","Double-Blind","Apixaban vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/36940444/?format=pubmed",
"Immediate versus staged complete revascularisation in patients presenting with acute coronary syndrome and multivessel coronary disease (BIOVASC): a prospective, open-label, non-inferiority, randomised trial. (BIOVASC) , Diletti et al., Lancet, 2023/03/08","1525","Immediate complete revascularisation was associated with a reduction in myocardial infarction and unplanned ischaemia-driven revascularisation.","Composite of all-cause mortality, myocardial infarction, any unplanned ischaemia-driven revascularisation, or cerebrovascular events at 1 year after the index procedure","Immediate complete revascularisation was non-inferior to staged complete revascularisation (7.6% vs. 9.4%, HR 0.78, 95% CI 0.55-1.11, p(non-inferiority)=0.0011)","Unspecified","Immediate complete revascularisation vs. Staged complete revascularisation","https://pubmed.ncbi.nlm.nih.gov/36889333/?format=pubmed",
