Study,Number of Randomized Patients,Conclusion,Primary Outcome,Results for the Primary Outcome,Blinding,Comparator,Link to Article
"Interrupting Endocrine Therapy to Attempt Pregnancy after Breast Cancer. (International Breast Cancer Study Group) , Partridge et al., NEJM, 2023/05/03",516,Temporary interruption of endocrine therapy to attempt pregnancy did not confer a greater short-term risk of breast cancer events than that in the external control cohort,Number of Breast Cancer Events,"3-year incidence of breast cancer events was 8.9% (95% CI, 6.3 to 11.6) in the treatment-interruption group and 9.2% (95% CI, 7.6 to 10.8) in the control cohort",Unspecified,Treatment-Interruption Group vs. External Control Cohort,https://pubmed.ncbi.nlm.nih.gov/37133584/?format=pubmed,
"Prednisone vs Placebo and Live Birth in Patients With Recurrent Implantation Failure Undergoing In Vitro Fertilization: A Randomized Clinical Trial., Sun et al., JAMA, 2023/05/02",715,Treatment with prednisone did not improve live birth rate compared with placebo. Data suggested that the use of prednisone may increase the risk of preterm delivery and biochemical pregnancy loss.,Live birth,"Live birth occurred among 37.8% of women (135 of 357) in the prednisone group vs 38.8% of women (139 of 358) in the placebo group (absolute difference, -1.0% [95% CI, -8.1% to 6.1%]; relative ratio [RR], 0.97 [95% CI, 0.81 to 1.17]; P = .78).",Double-blind,Prednisone (n=357) vs. Placebo (n=358),https://pubmed.ncbi.nlm.nih.gov/37129654/?format=pubmed,
"Randomized Trial of BCG Vaccine to Protect against Covid-19 in Health Care Workers. (BRACE) , Pittet et al., NEJM, 2023/04/26",3988,Vaccination with BCG-Denmark did not result in a lower risk of Covid-19 among health care workers than placebo.,Symptomatic Covid-19 and severe Covid-19,"Risk of symptomatic Covid-19 by 6 months was 14.7% in the BCG group and 12.3% in the placebo group (risk difference, 2.4 percentage points; 95% CI, -0.7 to 5.5; P = 0.13). Risk of severe Covid-19 by 6 months was 7.6% in the BCG group and 6.5% in the placebo group (risk difference, 1.1 percentage points; 95% CI, -1.2 to 3.5; P = 0.34).",Double-blind,BCG-Denmark vaccine vs. saline placebo,https://pubmed.ncbi.nlm.nih.gov/37099341/?format=pubmed,
"Sparsentan in patients with IgA nephropathy: a prespecified interim analysis from a randomised, double-blind, active-controlled clinical trial. (PROTECT) , Heerspink et al., Lancet, 2023/04/04",404,Sparsentan produced meaningful reduction in proteinuria compared with irbesartan in adults with IgA nephropathy.,Change from baseline to week 36 in urine protein-creatinine ratio,"Sparsentan (-49.8%) vs. Irbesartan (-15.1%), resulting in a between-group relative reduction of 41% (least squares mean ratio=0.59; 95% CI 0.51-0.69; p<0.0001)",Double-blind,Sparsentan vs. Irbesartan,https://pubmed.ncbi.nlm.nih.gov/37015244/?format=pubmed,
"Facilitating Shared Decision Making Among Black Patients at Risk for Sudden Cardiac Arrest : A Randomized Clinical Trial., Thomas et al., Annals of internal medicine, 2023/04/03",330,A video-based decision support tool increased patient knowledge but did not increase assent to ICD implantation.,Decision regarding ICD implantation,"Assent to ICD implantation was 58.6% in the video group compared with 59.4% in the usual care group (difference, -0.8 percentage point [95% CI, -13.2 to 11.1 percentage points])",Unspecified,Video group vs. Usual Care group,https://pubmed.ncbi.nlm.nih.gov/37011387/?format=pubmed,
"Evolving Real-World Effectiveness of Monoclonal Antibodies for Treatment of COVID-19 : A Cohort Study., Kip et al., Annals of internal medicine, 2023/04/03","8,706",Early mAb Treatment among Outpatients with COVID-19 is Associated with Lower Risk for Hospitalization or Death for Various mAb Products and SARS-CoV-2 Variants.,Hospitalization or Death at 28 Days,"4.6% in Treated Patients and 7.6% in Nontreated Control Patients (RR, 0.61 [95% CI, 0.50 to 0.74])",Unspecified,Treated Patients vs. Nontreated Control Group,https://pubmed.ncbi.nlm.nih.gov/37011399/?format=pubmed,
"Evolving Real-World Effectiveness of Monoclonal Antibodies for Treatment of COVID-19 : A Cohort Study., Kip et al., Annals of internal medicine, 2023/04/03","8,706",Early mAb treatment among outpatients with COVID-19 is associated with lower risk for hospitalization or death for various mAb products and SARS-CoV-2 variants.,Hospitalization or death at 28 days,"4.6% in treated patients and 7.6% in nontreated control patients (risk ratio [RR], 0.61 [95% CI, 0.50 to 0.74])",Unspecified,Treated patients vs. nontreated control group,https://pubmed.ncbi.nlm.nih.gov/37011399/?format=pubmed,
"Endovascular treatment versus no endovascular treatment after 6-24 h in patients with ischaemic stroke and collateral flow on CT angiography (MR CLEAN-LATE) in the Netherlands: a multicentre, open-label, blinded-endpoint, randomised, controlled, phase 3 trial. (MR) , Olthuis et al., Lancet, 2023/03/29",535,"Endovascular Treatment was efficacious and safe for patients with ischaemic stroke caused by an anterior circulation large-vessel occlusion who presented 6-24 h from onset or last seen well, and who were selected on the basis of the presence of collateral flow on CTA.",Modified Rankin Scale (mRS) Score at 90 Days,Median mRS Score at 90 Days was lower in Endovascular Treatment Group (3 [IQR 2-5]) than Control Group (4 [2-6]); Adjusted Common Odds Ratio (OR) of 1.67 (95% CI 1.20-2.32),Unspecified,Endovascular Treatment vs. No Endovascular Treatment,https://pubmed.ncbi.nlm.nih.gov/37003289/?format=pubmed,
"Endovascular treatment versus no endovascular treatment after 6-24 h in patients with ischaemic stroke and collateral flow on CT angiography (MR CLEAN-LATE) in the Netherlands: a multicentre, open-label, blinded-endpoint, randomised, controlled, phase 3 trial. (MR) , Olthuis et al., Lancet, 2023/03/29",535,Endovascular Treatment was Efficacious and Safe for Patients with Ischemic Stroke Caused by Anterior Circulation Large-Vessel Occlusion Who Presented 6-24 Hours from Onset or Last Seen Well and Who Were Selected on the Basis of the Presence of Collateral Flow on CTA,Modified Rankin Scale (mRS) Score at 90 Days,Median mRS Score at 90 Days was Lower in Endovascular Treatment Group than Control Group (3 vs 4); Adjusted Common OR 1.67 (95% CI 1.20-2.32),Unspecified,Endovascular Treatment vs No Endovascular Treatment,https://pubmed.ncbi.nlm.nih.gov/37003289/?format=pubmed,
"Acute Effects of Coffee Consumption on Health among Ambulatory Adults., Marcus et al., NEJM, 2023/03/22",100,The consumption of caffeinated coffee did not result in significantly more daily premature atrial contractions than the avoidance of caffeine.,Mean number of daily premature atrial contractions,"58 daily premature atrial contractions with caffeinated coffee vs. 53 daily events on days when caffeine was avoided (rate ratio, 1.09; 95% confidence interval [CI], 0.98 to 1.20; P = 0.10)",Unspecified,Caffeinated coffee vs. no caffeine consumption,https://pubmed.ncbi.nlm.nih.gov/36947466/?format=pubmed,
