Study,Number of Randomized Patients,Conclusion,Primary Outcome,Results for the Primary Outcome,Blinding,Comparator,Link to Article
"First-Line Venetoclax Combinations in Chronic Lymphocytic Leukemia. (GCLLSG,) , Eichhorst et al., NEJM, 2023/05/10",926,Venetoclax-obinutuzumab with or without ibrutinib was superior to chemoimmunotherapy as first-line treatment in fit patients with CLL.,"Undetectable minimal residual disease (sensitivity, <10(-4)) as assessed by flow cytometry in peripheral blood at month 15 and progression-free survival","At month 15, the percentage of patients with undetectable minimal residual disease was significantly higher in the venetoclax-obinutuzumab group (86.5%; 97.5% confidence interval [CI], 80.6 to 91.1) and the venetoclax-obinutuzumab-ibrutinib group (92.2%; 97.5% CI, 87.3 to 95.7) than in the chemoimmunotherapy group (52.0%; 97.5% CI, 44.4 to 59.5; P<0.001 for both comparisons). Three-year progression-free survival was 90.5% in the venetoclax-obinutuzumab-ibrutinib group and 75.5% in the chemoimmunotherapy group (hazard ratio for disease progression or death, 0.32; 97.5% CI, 0.19 to 0.54; P<0.001).",Unspecified,Chemotherapy-immunotherapy vs. Venetoclax-Rituximab vs. Venetoclax-Obinutuzumab vs. Venetoclax-Obinutuzumab-Ibrutinib,https://pubmed.ncbi.nlm.nih.gov/37163621/?format=pubmed,
"Trifluridine-Tipiracil and Bevacizumab in Refractory Metastatic Colorectal Cancer. (SUNLIGHT) , Prager et al., NEJM, 2023/05/03",246 patients,Treatment with FTD-TPI plus bevacizumab resulted in longer overall survival than FTD-TPI alone for patients with refractory metastatic colorectal cancer.,Overall Survival,"Median overall survival was 10.8 months in the combination group and 7.5 months in the FTD-TPI group (hazard ratio for death, 0.61; 95% CI, 0.49 to 0.77; P<0.001)",Unspecified,FTD-TPI plus bevacizumab (combination group) vs. FTD-TPI alone (FTD-TPI group),https://pubmed.ncbi.nlm.nih.gov/37133585/?format=pubmed,
"Interrupting Endocrine Therapy to Attempt Pregnancy after Breast Cancer. (International Breast Cancer Study Group) , Partridge et al., NEJM, 2023/05/03",516,Temporary interruption of endocrine therapy to attempt pregnancy did not confer a greater short-term risk of breast cancer events than that in the external control cohort,Number of breast cancer events,"3-year incidence of breast cancer events was 8.9% (95% CI, 6.3 to 11.6) in the treatment-interruption group and 9.2% (95% CI, 7.6 to 10.8) in the control cohort",Unspecified,Treatment-interruption group vs. External control cohort,https://pubmed.ncbi.nlm.nih.gov/37133584/?format=pubmed,
"Quizartinib plus chemotherapy in newly diagnosed patients with FLT3-internal-tandem-duplication-positive acute myeloid leukaemia (QuANTUM-First): a randomised, double-blind, placebo-controlled, phase 3 trial. (QuANTUM-First Study Group) , Erba et al., Lancet, 2023/04/28",539,"Quizartinib provides a new, effective, and generally well tolerated treatment option for adult patients with FLT3-ITD-positive newly diagnosed AML.",Overall Survival,"Median overall survival was 31.9 months (95% CI 21.0-not estimable) for quizartinib versus 15.1 months (13.2-26.2) for placebo (hazard ratio 0.78, 95% CI 0.62-0.98, p=0.032)",Double-blind,Quizartinib vs Placebo,https://pubmed.ncbi.nlm.nih.gov/37116523/?format=pubmed,
"Panitumumab vs Bevacizumab Added to Standard First-line Chemotherapy and Overall Survival Among Patients With RAS Wild-type, Left-Sided Metastatic Colorectal Cancer: A Randomized Clinical Trial., Watanabe et al., JAMA, 2023/04/18",823,Adding panitumumab to standard first-line chemotherapy significantly improved overall survival in those with left-sided tumors and in the overall population.,Overall Survival,"Median overall survival was 37.9 months with panitumumab vs 34.3 months with bevacizumab in participants with left-sided tumors (hazard ratio [HR] for death, 0.82; 95.798% CI, 0.68-0.99; P = .03) and 36.2 vs 31.3 months, respectively, in the overall population (HR, 0.84; 95% CI, 0.72-0.98; P = .03).",Unspecified,Panitumumab vs Bevacizumab,https://pubmed.ncbi.nlm.nih.gov/37071094/?format=pubmed,
"Zolbetuximab plus mFOLFOX6 in patients with CLDN18.2-positive, HER2-negative, untreated, locally advanced unresectable or metastatic gastric or gastro-oesophageal junction adenocarcinoma (SPOTLIGHT): a multicentre, randomised, double-blind, phase 3 trial., Shitara et al., Lancet, 2023/04/17",,Error,Error,Error,Error,"The SPOTLIGHT trial was a global, double-blind, phase 3 trial with an unspecified blinding that enrolled 565 patients with CLDN18.2-positive, HER2-negative, locally advanced unresectable or metastatic gastric or gastro-oesophageal junction adenocarcinoma. Patients were randomized to receive either zolbetuximab plus mFOLFOX6 or placebo plus mFOLFOX6. The primary endpoint was progression-free survival. Results showed that zolbetuximab treatment significantly reduced the risk of disease progression or death compared with placebo (hazard ratio [HR] 0*75, 95% CI 0*60-0*94; p=0*0066) and significantly prolonged progression-free survival (median 10*61 months in the zolbetuximab group versus 8*67 months in the placebo group).",https://pubmed.ncbi.nlm.nih.gov/37068504/?format=pubmed,
"Bivalent Prefusion F Vaccine in Pregnancy to Prevent RSV Illness in Infants. (MATISSE) , Kampmann et al., NEJM, 2023/04/05",3682 maternal participants and 3570 infants,"RSVpreF vaccine administered during pregnancy was effective against medically attended severe RSV-associated lower respiratory tract illness in infants, and no safety concerns were identified.",Medically attended severe RSV-associated lower respiratory tract illness,"Vaccine efficacy of 81.8% (99.5% CI, 40.6 to 96.3) within 90 days after birth",Double-blind,Vaccine group and placebo group,https://pubmed.ncbi.nlm.nih.gov/37018474/?format=pubmed,
"In pituitary adenoma surgery, no vs. perioperative hydrocortisone was noninferior for new-onset adrenal insufficiency., Gandhi et al., Annals of internal medicine, 2023/04/03",,Error,Error,Error,Error,5.7%).,https://pubmed.ncbi.nlm.nih.gov/37011395/?format=pubmed,
"Efficacy and safety of fitusiran prophylaxis in people with haemophilia A or haemophilia B with inhibitors (ATLAS-INH): a multicentre, open-label, randomised phase 3 trial., Young et al., Lancet, 2023/03/29",57,"Fitusiran prophylaxis might show haemostatic efficacy in participants with haemophilia A or haemophilia B with inhibitors, potentially improving the management of people with haemophilia.",Mean annualised bleeding rate,Fitusiran prophylaxis resulted in 90.8% (95% CI 80.8-95.6) reduction in annualised bleeding rate in favour of fitusiran prophylaxis (p<0.0001); 66% of participants had zero treated bleeds in the fitusiran prophylaxis group vs. 5% in the bypassing agents on-demand group,Unspecified,Fitusiran prophylaxis vs. bypassing agents on-demand,https://pubmed.ncbi.nlm.nih.gov/37003287/?format=pubmed,
"Effect of Thromboprophylaxis on Clinical Outcomes After COVID-19 Hospitalization. (ACTIV-4C) , Wang et al., Annals of internal medicine, 2023/03/20",1217,The incidence of death or thromboembolism was low in this cohort of patients discharged after hospitalization with COVID-19,"30-day composite of death, arterial thromboembolism, and venous thromboembolism","Incidence of the primary end point was 2.13% (95% CI, 1.14 to 3.62) in the apixaban group and 2.31% (CI, 1.27 to 3.84) in the placebo group",Double-blind,Apixaban vs. Placebo,https://pubmed.ncbi.nlm.nih.gov/36940444/?format=pubmed,
"Fezolinetant for treatment of moderate-to-severe vasomotor symptoms associated with menopause (SKYLIGHT 1): a phase 3 randomised controlled study., Lederman et al., Lancet, 2023/03/16",2205,Fezolinetant is a non-hormonal treatment for vasomotor symptoms associated with menopause that showed significant reduction in frequency and severity of symptoms over 12 weeks and maintained over 52 weeks.,Mean change in frequency and severity of vasomotor symptoms from baseline to weeks 4 and 12,Fezolinetant 30 mg and 45 mg significantly reduced the frequency and severity of vasomotor symptoms at weeks 4 and 12 compared to placebo,Unspecified,"Placebo, Fezolinetant 30 mg, Fezolinetant 45 mg",https://pubmed.ncbi.nlm.nih.gov/36924778/?format=pubmed,
"Fifteen-Year Outcomes after Monitoring, Surgery, or Radiotherapy for Prostate Cancer. (ProtecT Study Group) , Hamdy et al., NEJM, 2023/03/13",1643,Choice of therapy involves weighing trade-offs between benefits and harms associated with treatments for localized prostate cancer.,Death from Prostate Cancer,"2.7% (Active Monitoring 3.1%, Prostatectomy 2.2%, Radiotherapy 2.9%)",Unspecified,"Active Monitoring, Prostatectomy, Radiotherapy",https://pubmed.ncbi.nlm.nih.gov/36912538/?format=pubmed,
"Nirogacestat, a g-Secretase Inhibitor for Desmoid Tumors., Gounder et al., NEJM, 2023/03/08",70 (nirogacestat) and 72 (placebo),"Nirogacestat was associated with significant benefits with respect to progression-free survival, objective response, pain, symptom burden, physical functioning, role functioning, and health-related quality of life in adults with progressing desmoid tumors.",Progression-free survival,"Nirogacestat had a significant progression-free survival benefit over placebo (hazard ratio for disease progression or death, 0.29; 95% confidence interval, 0.15 to 0.55; P<0.001); the likelihood of being event-free at 2 years was 76% with nirogacestat and 44% with placebo",Double-blind,Nirogacestat vs. Placebo,https://pubmed.ncbi.nlm.nih.gov/36884323/?format=pubmed,
"Nirogacestat, a g-Secretase Inhibitor for Desmoid Tumors., Gounder et al., NEJM, 2023/03/08",70 (nirogacestat) and 72 (placebo),"Nirogacestat was associated with significant benefits with respect to progression-free survival, objective response, pain, symptom burden, physical functioning, role functioning, and health-related quality of life in adults with progressing desmoid tumors.",progression-free survival,"Nirogacestat had a significant progression-free survival benefit over placebo (hazard ratio for disease progression or death, 0.29; 95% confidence interval, 0.15 to 0.55; P<0.001); the likelihood of being event-free at 2 years was 76% with nirogacestat and 44% with placebo.",double-blind,nirogacestat vs. placebo,https://pubmed.ncbi.nlm.nih.gov/36884323/?format=pubmed,
"Nirogacestat, a g-Secretase Inhibitor for Desmoid Tumors., Gounder et al., NEJM, 2023/03/08","70 patients assigned to nirogacestat, 72 assigned to placebo","Nirogacestat was associated with significant benefits with respect to progression-free survival, objective response, pain, symptom burden, physical functioning, role functioning, and health-related quality of life in adults with progressing desmoid tumors.",Progression-free survival,"Nirogacestat had a significant progression-free survival benefit over placebo (hazard ratio for disease progression or death, 0.29; 95% confidence interval, 0.15 to 0.55; P<0.001); the likelihood of being event-free at 2 years was 76% with nirogacestat and 44% with placebo",Double-blind,Nirogacestat vs. placebo,https://pubmed.ncbi.nlm.nih.gov/36884323/?format=pubmed,
"Nirogacestat, a g-Secretase Inhibitor for Desmoid Tumors., Gounder et al., NEJM, 2023/03/08",70 (nirogacestat) and 72 (placebo),"Nirogacestat was associated with significant benefits with respect to progression-free survival, objective response, pain, symptom burden, physical functioning, role functioning, and health-related quality of life in adults with progressing desmoid tumors.",Progression-free survival,"Nirogacestat had a significant progression-free survival benefit over placebo (hazard ratio for disease progression or death, 0.29; 95% confidence interval, 0.15 to 0.55; P<0.001); the likelihood of being event-free at 2 years was 76% with nirogacestat and 44% with placebo.",Double-blind,Nirogacestat vs. Placebo,https://pubmed.ncbi.nlm.nih.gov/36884323/?format=pubmed,
"Effect of Induction Therapy With Olamkicept vs Placebo on Clinical Response in Patients With Active Ulcerative Colitis: A Randomized Clinical Trial., Zhang et al., JAMA, 2023/03/07","Olamkicept 600 mg, Olamkicept 300 mg, Placebo","1 to receive a biweekly intravenous infusion of olamkicept 600 mg, 300 mg, or placebo for 12 weeks. The primary end point was clinical response at week 12, and the results showed that more patients receiving olamkicept 600 mg achieved clinical response than placebo, with an adjusted difference of 26.6%. Treatment-related adverse events occurred in 53.3% of patients receiving 600 mg olamkicept, 58.1% receiving 300 mg olamkicept, and 50% receiving placebo.","More patients receiving olamkicept 600 mg (17/29 [58.6%]) or 300 mg (13/30 [43.3%]) achieved clinical response than placebo (10/29 [34.5%]), with adjusted difference vs placebo of 26.6% (90% CI, 6.2% to 47.1%; P = .03) for 600 mg and 8.3% (90% CI, -12.6% to 29.1%; P = .52) for 300 mg.","Olamkicept 600 mg infusion biweekly resulted in a greater likelihood of clinical response at 12 weeks compared with placebo, while 300 mg did not.","Clinical response at week 12 (defined as >=3 and >=30% decrease from baseline total Mayo score; range, 0-12 [worst] with >=1 decrease and <=1 in rectal bleeding [range, 0-3 {worst}])",Unspecified,https://pubmed.ncbi.nlm.nih.gov/36881032/?format=pubmed,
"Neoadjuvant-Adjuvant or Adjuvant-Only Pembrolizumab in Advanced Melanoma., Patel et al., NEJM, 2023/03/01",313,Patients with resectable stage III or IV melanoma who received pembrolizumab both before and after surgery had significantly longer event-free survival than those who received adjuvant pembrolizumab alone.,Event-free survival,Neoadjuvant-adjuvant group had significantly longer event-free survival than the adjuvant-only group (72% vs. 49% at 2 years),Unspecified,Neoadjuvant-adjuvant group vs. Adjuvant-only group,https://pubmed.ncbi.nlm.nih.gov/36856617/?format=pubmed,
"Two-Year Outcomes of Valoctocogene Roxaparvovec Therapy for Hemophilia A. (GENEr8-1 Trial Group) , Mahlangu et al., NEJM, 2023/02/22",134,Valoctocogene roxaparvovec therapy effectively reduced bleeding events in men with severe hemophilia A.,Change from baseline in the annualized rate of treated bleeding events at week 104 after receipt of the infusion,Mean annualized treated bleeding rate decreased by 84.5% from baseline (P<0.001),Unspecified,"Single-group, open-label",https://pubmed.ncbi.nlm.nih.gov/36812433/?format=pubmed,
"Gene Therapy with Etranacogene Dezaparvovec for Hemophilia B., Pipe et al., NEJM, 2023/02/22",54,"Etranacogene dezaparvovec gene therapy was superior to prophylactic factor IX with respect to the annualized bleeding rate, and it had a favorable safety profile.",Annualized bleeding rate,"Decreased from 4.19 to 1.51, rate ratio of 0.36 (P<0.001)",Unspecified,Factor IX prophylaxis,https://pubmed.ncbi.nlm.nih.gov/36812434/?format=pubmed,
"Rucaparib or Physician's Choice in Metastatic Prostate Cancer. (TRITON3) , Fizazi et al., NEJM, 2023/02/16",,Error,Error,Error,Error,"2) This was a randomized, controlled, phase 3 study with an unspecified blinding. The sample size was 4855 patients with metastatic, castration-resistant prostate cancer with a BRCA1, BRCA2, or ATM alteration. The comparison groups were rucaparib (600 mg twice daily) and a physician's choice control (docetaxel or a second-generation ARPI [abiraterone acetate or enzalutamide]). The primary outcome was the median duration of imaging-based progression-free survival. The results showed that the median duration of imaging-based progression-free survival was significantly longer in the rucaparib group than in the control group (11.2 months vs. 6.4 months).",https://pubmed.ncbi.nlm.nih.gov/36795891/?format=pubmed,
"Breast-Conserving Surgery with or without Irradiation in Early Breast Cancer., Kunkler et al., NEJM, 2023/02/15",1326,Omission of radiotherapy was associated with an increased incidence of local recurrence but had no detrimental effect on distant recurrence as the first event or overall survival.,Local breast cancer recurrence,"9.5% (95% CI, 6.8 to 12.3) in the no-radiotherapy group and 0.9% (95% CI, 0.1 to 1.7) in the radiotherapy group (hazard ratio, 10.4; 95% CI, 4.1 to 26.1; P<0.001)",Unspecified,Radiotherapy vs No Radiotherapy,https://pubmed.ncbi.nlm.nih.gov/36791159/?format=pubmed,
